Incident energy 
Incident energy 
Incident energy σ(E)
1.0E-5 134.5031
1.0625E-5 130.4872
1.125E-5 126.8108
1.1875E-5 123.4286
1.25E-5 120.3033
1.375E-5 114.7048
1.5E-5 109.8215
1.625E-5 105.5131
1.75E-5 101.675
1.875E-5 98.22742
2.0E-5 95.10832
2.1875E-5 90.94099
2.375E-5 87.27745
2.5625E-5 84.02376
2.75E-5 81.10879
2.9375E-5 78.47757
3.125E-5 76.08686
3.3125E-5 73.90212
3.5E-5 71.89538
3.875E-5 68.32813
4.25E-5 65.24411
4.625E-5 62.54322
5.0E-5 60.1522
5.3125E-5 58.35624
5.625E-5 56.71211
5.9375E-5 55.19955
6.25E-5 53.80191
6.875E-5 51.29817
7.5E-5 49.11433
8.125E-5 47.18758
8.75E-5 45.47115
9.375E-5 43.92936
1.0E-4 42.53447
1.0625E-4 41.26455
1.125E-4 40.10198
1.1875E-4 39.03245
1.25E-4 38.04417
1.375E-4 36.27377
1.5E-4 34.72957
1.625E-4 33.36716
1.75E-4 32.15347
1.875E-4 31.06327
2.0E-4 30.07694
2.1875E-4 28.75914
2.375E-4 27.60065
2.5625E-4 26.57176
2.75E-4 25.64998
2.9375E-4 24.81792
3.125E-4 24.06192
3.3125E-4 23.37106
3.5E-4 22.73648
3.875E-4 21.60844
4.25E-4 20.6332
4.625E-4 19.77911
5.0E-4 19.02302
5.3125E-4 18.4551
5.625E-4 17.93519
5.9375E-4 17.45689
6.25E-4 17.01494
6.875E-4 16.22322
7.5E-4 15.53268
8.125E-4 14.92344
8.75E-4 14.38071
9.375E-4 13.89322
0.001 13.45218
0.0010625 13.05067
0.001125 12.6831
0.0011875 12.34496
0.00125 12.0325
0.001375 11.47278
0.0015 10.98458
0.001625 10.55384
0.00175 10.17012
0.001875 9.825436
0.002 9.513595
0.0021875 9.09696
0.002375 8.730712
0.0025625 8.405464
0.00275 8.114105
0.0029375 7.851137
0.003125 7.612226
0.0033125 7.393908
0.0035 7.193376
0.003875 6.836861
0.00425 6.528572
0.004625 6.258543
0.005 6.019507
0.0053125 5.840003
0.005625 5.67572
0.0059375 5.524623
0.00625 5.38503
0.006875 5.134962
0.0075 4.916775
0.008125 4.7242
0.00875 4.552616
0.009375 4.39851
0.01 4.259145
0.010625 4.132346
0.01125 4.01635
0.011875 3.909706
0.0125 3.811196
0.01375 3.63468
0.015 3.480558
0.01625 3.344486
0.0175 3.223267
0.01875 3.11442
0.02 3.015985
0.021325 2.921279
0.02265 2.835047
0.023975 2.756121
0.0253 2.683564
0.02684375 2.606034
0.0283875 2.535015
0.031475 2.408839
0.0345625 2.299654
0.03765 2.204169
0.0407375 2.119819
0.043825 2.044605
