Incident energy 
Incident energy 
Incident energy σ(E)
1.0E-5 0.001331484
1.0625E-5 0.00129173
1.125E-5 0.001255336
1.1875E-5 0.001221854
1.25E-5 0.001190916
1.375E-5 0.001135494
1.5E-5 0.001087153
1.625E-5 0.001044503
1.75E-5 0.001006509
1.875E-5 9.723801E-4
2.0E-5 9.415031E-4
2.1875E-5 9.002494E-4
2.375E-5 8.63983E-4
2.5625E-5 8.317737E-4
2.75E-5 8.029175E-4
2.9375E-5 7.768702E-4
3.125E-5 7.532038E-4
3.3125E-5 7.315764E-4
3.5E-5 7.117111E-4
3.875E-5 6.763978E-4
4.25E-5 6.45868E-4
4.625E-5 6.191311E-4
5.0E-5 5.954615E-4
5.3125E-5 5.776828E-4
5.625E-5 5.61407E-4
5.9375E-5 5.464337E-4
6.25E-5 5.325979E-4
6.875E-5 5.078126E-4
7.5E-5 4.86194E-4
8.125E-5 4.671204E-4
8.75E-5 4.501289E-4
9.375E-5 4.348661E-4
1.0E-4 4.210576E-4
1.0625E-4 4.084862E-4
1.125E-4 3.969775E-4
1.1875E-4 3.863898E-4
1.25E-4 3.766064E-4
1.375E-4 3.590806E-4
1.5E-4 3.437939E-4
1.625E-4 3.303069E-4
1.75E-4 3.18292E-4
1.875E-4 3.074996E-4
2.0E-4 2.977355E-4
2.1875E-4 2.8469E-4
2.375E-4 2.732216E-4
2.5625E-4 2.630361E-4
2.75E-4 2.53911E-4
2.9375E-4 2.45674E-4
3.125E-4 2.3819E-4
3.3125E-4 2.313508E-4
3.5E-4 2.250688E-4
3.875E-4 2.139016E-4
4.25E-4 2.042471E-4
4.625E-4 1.95792E-4
5.0E-4 1.883069E-4
5.3125E-4 1.826847E-4
5.625E-4 1.775377E-4
5.9375E-4 1.728027E-4
6.25E-4 1.684274E-4
6.875E-4 1.605896E-4
7.5E-4 1.537533E-4
8.125E-4 1.477219E-4
8.75E-4 1.42349E-4
9.375E-4 1.375228E-4
0.001 1.331565E-4
0.0010625 1.291815E-4
0.001125 1.255425E-4
0.0011875 1.221948E-4
0.00125 1.191014E-4
0.001375 1.1356E-4
0.0015 1.087265E-4
0.001625 1.044621E-4
0.00175 1.00663E-4
0.001875 9.725036E-5
0.002 9.416287E-5
0.0021875 9.00378E-5
0.002375 8.641154E-5
0.0025625 8.319119E-5
0.00275 8.030634E-5
0.0029375 7.770255E-5
0.003125 7.533693E-5
0.0033125 7.317519E-5
0.0035 7.118952E-5
0.003875 6.765924E-5
0.00425 6.460641E-5
0.004625 6.193238E-5
0.005 5.956518E-5
0.0053125 5.778748E-5
0.005625 5.616048E-5
0.0059375 5.466405E-5
0.00625 5.32815E-5
0.006875 5.080471E-5
